date,full_model_valid,coverage_score,lsi,lsi_raw,lsi_smoothed,lsi_base,m4_multiplier,status,status_raw,target_stress,lsi_baseline_expected,contribution_M1,contribution_M2,contribution_M3,contribution_M4,contribution_M5,active_market_modules_count,crisis_window
2016-12-12,0,0.6667000000000001,,16.235088518558914,16.85787955017152,14.117468277007752,1.15,partial,green,8.20326599363427,54.70194798001061,-5.820934772819575,-21.21988902388643,-4.054499570596034,2.117620241551162,-7.371536094149634,0,normal_or_unknown
2016-12-13,0,0.6667000000000001,,17.22641885705356,16.908875660999055,14.979494658307445,1.15,partial,green,8.20326599363427,54.70194798001061,-4.793219311016909,-20.966440087792776,-4.411704881674643,2.2469241987461146,-7.304164842472742,0,normal_or_unknown
2016-12-14,0,0.6667000000000001,,15.989229803190227,16.781620952447945,13.903678089730633,1.15,partial,green,7.543646652040884,54.70194798001061,-6.015910669123519,-21.22673486176525,-4.067523571941381,2.0855517134595942,-7.402549073990203,0,normal_or_unknown
2016-12-15,0,0.6667000000000001,,14.395352407944095,16.45142438213007,12.517697746038344,1.15,partial,green,3.645895997170769,54.70194798001061,-7.4830527878894895,-21.289161596093905,-4.066905370831465,1.8776546619057513,-7.46747581725162,0,normal_or_unknown
2016-12-16,0,0.6667000000000001,,14.051376448000639,16.119321108056695,12.21858821565273,1.15,partial,green,1.717453322741352,54.70194798001061,-7.764506413974244,-21.327761636206162,-4.050705037348946,1.8327882323479088,-7.5075984444805774,0,normal_or_unknown
2016-12-17,0,0.6667000000000001,,14.020519329682125,15.828902349198843,12.191755938854023,1.15,partial,green,6.282021779438863,54.70194798001061,-7.817017145642279,-21.306108022856645,-4.050705037348946,1.8287633908281027,-7.5075984444805774,0,normal_or_unknown
2016-12-18,0,0.6667000000000001,,14.020519329682125,15.578669879663586,12.191755938854023,1.15,partial,green,6.943287229906159,54.70194798001061,-7.817017145642279,-21.306108022856645,-4.050705037348946,1.8287633908281027,-7.5075984444805774,0,normal_or_unknown
2016-12-19,0,0.6667000000000001,,14.867964789293401,15.48032705739901,12.928665034168176,1.15,partial,green,15.41359458117166,54.70194798001061,-6.963008291516845,-21.3545388334762,-4.055945028795541,1.9392997551252247,-7.460491036928588,0,normal_or_unknown
2016-12-20,0,0.6667000000000001,,15.344481229111821,15.461529581022878,13.343027155749411,1.15,partial,green,16.570809119489322,54.70194798001061,-6.600438182586608,-21.30005535617041,-4.019549928380703,2.00145407336241,-7.437423283761039,0,normal_or_unknown
2016-12-21,0,0.6667000000000001,,17.686153802114422,15.769358844306081,15.379264175751672,1.15,partial,green,16.570809119489322,54.70194798001061,-6.277830920878542,-21.038818965353734,-2.103117775116897,2.30688962636275,-7.596026516547042,0,normal_or_unknown
2016-12-22,0,0.6667000000000001,,20.15975484886742,16.376873747179207,17.5302216077108,1.15,partial,green,16.570809119489322,54.70194798001061,-4.261327812821048,-20.68749192516468,-2.0736536763637754,2.6295332411566186,-7.519719716793689,0,normal_or_unknown
2016-12-23,0,0.6667000000000001,,16.700686331466486,16.421680860361707,14.52233594040564,1.15,partial,green,12.966912414442826,54.70194798001061,-7.16882289356727,-21.007161771779263,-2.1991979331599794,2.178350391060846,-7.626079050037621,0,normal_or_unknown
2016-12-24,0,0.6667000000000001,,16.700686331466486,16.460287851964104,14.52233594040564,1.15,partial,green,18.7199218335079,54.70194798001061,-7.16882289356727,-21.007161771779263,-2.1991979331599794,2.178350391060846,-7.626079050037621,0,normal_or_unknown
2016-12-25,0,0.6667000000000001,,16.700686331466486,16.49355265513311,14.52233594040564,1.15,partial,green,21.960122540797414,54.70194798001061,-7.16882289356727,-21.007161771779263,-2.1991979331599794,2.178350391060846,-7.626079050037621,0,normal_or_unknown
2016-12-26,0,0.6667000000000001,,20.13466532551917,16.997386525244497,16.107732260415336,1.25,partial,green,21.960122540797414,59.45863910870719,-7.23295830396252,-22.334174663566007,-1.8582085508754844,4.026933065103833,-7.898632264783991,0,normal_or_unknown
2016-12-27,0,0.6667000000000001,,26.603588131504694,18.326631228852943,21.282870505203753,1.25,partial,green,21.960122540797414,59.45863910870719,-0.8571302517711915,-22.16821792903467,-2.0721693403052,5.32071762630094,-7.757533456091385,0,normal_or_unknown
2016-12-28,0,0.6667000000000001,,27.497388995849008,19.595622000596833,21.997911196679205,1.25,partial,green,19.066010825966057,59.45863910870719,2.755413977783273,-22.690440483627178,-4.709571851192752,5.499477799169803,-7.316651755821487,0,normal_or_unknown
2016-12-29,0,0.6667000000000001,,32.85275278286211,21.430058919543722,25.271348294509316,1.3,partial,green,19.2444475348223,61.836984673055476,6.765208666792159,-23.374532210767487,-4.861635209761674,7.581404488352796,-7.5132731364563226,0,normal_or_unknown
2016-12-30,0,0.6667000000000001,,31.56812916498432,22.83290020176085,24.283176280757168,1.3,partial,green,48.559332865427876,61.836984673055476,5.53548418473338,-23.344484525242287,-4.9465820311058915,7.2849528842271525,-7.5132731364563226,0,normal_or_unknown
2016-12-31,0,0.6667000000000001,,32.85275278286211,24.21938328011792,25.271348294509316,1.3,partial,green,48.559332865427876,61.836984673055476,6.765208666792159,-23.374532210767487,-4.861635209761674,7.581404488352796,-7.5132731364563226,0,normal_or_unknown
2017-01-01,0,0.6667000000000001,,54.97699315526343,28.475424502024854,47.806081004576896,1.15,partial,yellow,48.559332865427876,54.70194798001061,8.867641941634195,-18.837880012386425,-2.576566136455672,7.170912150686533,12.821849382460728,1,normal_or_unknown
2017-01-02,0,0.6667000000000001,,54.50066637922289,32.07663092505578,47.39188380801991,1.15,partial,yellow,48.03976715434647,54.70194798001061,8.065263753926288,-18.93512646587843,-2.606794066640378,7.10878257120298,13.275375177804813,1,normal_or_unknown
2017-01-03,0,0.6667000000000001,,46.403711794267764,34.05912068991343,46.403711794267764,1.0,partial,yellow,47.54906620499182,47.56691128696575,6.067330920225137,-16.442213757383257,-2.332121157978824,0.0,11.543804502438968,1,normal_or_unknown
2017-01-04,0,0.6667000000000001,,46.403711794267764,35.76728620800764,46.403711794267764,1.0,partial,yellow,47.54906620499182,47.56691128696575,6.067330920225137,-16.442213757383257,-2.332121157978824,0.0,11.543804502438968,1,normal_or_unknown
2017-01-05,0,0.6667000000000001,,46.403711794267764,37.23908671307385,46.403711794267764,1.0,partial,yellow,47.54906620499182,47.56691128696575,6.067330920225137,-16.442213757383257,-2.332121157978824,0.0,11.543804502438968,1,normal_or_unknown
2017-01-06,0,0.6667000000000001,,36.707244699754966,37.16549381878149,36.707244699754966,1.0,partial,green,30.374532977578458,47.56691128696575,-5.320594592310982,-17.21051937897628,-2.4165213557990657,0.0,14.087968739875537,1,normal_or_unknown
2017-01-07,0,0.6667000000000001,,36.707244699754966,37.10208423824528,36.707244699754966,1.0,partial,green,35.99528930655011,47.56691128696575,-5.320594592310982,-17.21051937897628,-2.4165213557990657,0.0,14.087968739875537,1,normal_or_unknown
2017-01-08,0,0.6667000000000001,,36.707244699754966,37.04744886967552,36.707244699754966,1.0,partial,green,35.99528930655011,47.56691128696575,-5.320594592310982,-17.21051937897628,-2.4165213557990657,0.0,14.087968739875537,1,normal_or_unknown
2017-01-09,0,0.6667000000000001,,37.35300894907953,37.08973031803876,37.35300894907953,1.0,partial,green,35.99528930655011,47.56691128696575,-4.606947691687998,-17.25057274521783,-2.422184174220383,0.0,14.065802273239973,1,normal_or_unknown
2017-01-10,0,0.6667000000000001,,36.44373639516258,37.00034181301438,36.44373639516258,1.0,partial,green,30.374532977578458,47.56691128696575,-5.508267465928805,-17.254580719403567,-2.4165213557990657,0.0,14.056194649328253,1,normal_or_unknown
2017-01-11,0,0.6667000000000001,,42.308010958683376,37.734783103085654,36.7895747466812,1.15,partial,yellow,32.23022626500688,54.70194798001061,-6.110507492226688,-19.777727005560056,-2.729269133657413,5.518436212002179,16.22356661011691,1,normal_or_unknown
2017-01-12,0,0.6667000000000001,,42.00497640840212,38.32566512567168,36.526066442088805,1.15,partial,yellow,32.23022626500688,54.70194798001061,-6.326331296887185,-19.828397547051434,-2.729269133657413,5.478909966313317,16.187026405987535,1,normal_or_unknown
2017-01-13,0,0.6667000000000001,,42.52099194040069,38.90618760239659,36.97477560034843,1.15,partial,yellow,32.23022626500688,54.70194798001061,-5.886160934873504,-19.77505405823501,-2.7087035846682315,5.546216340052261,16.188962538166813,1,normal_or_unknown
2017-01-14,0,0.6667000000000001,,42.52099194040069,39.40638109383253,36.97477560034843,1.15,partial,yellow,37.39177047559833,54.70194798001061,-5.886160934873504,-19.77505405823501,-2.7087035846682315,5.546216340052261,16.188962538166813,1,normal_or_unknown
2017-01-15,0,0.6667000000000001,,42.52099194040069,39.83736101090028,36.97477560034843,1.15,partial,yellow,37.39177047559833,54.70194798001061,-5.886160934873504,-19.77505405823501,-2.7087035846682315,5.546216340052261,16.188962538166813,1,normal_or_unknown
2017-01-16,0,0.6667000000000001,,44.860004640686036,40.53236229409785,39.008699687553076,1.15,partial,yellow,46.75602846029304,54.70194798001061,-3.3851911408217163,-19.473487287337125,-3.0168953151716096,5.85130495313296,16.033630404005876,1,normal_or_unknown
2017-01-17,0,0.6667000000000001,,44.87212212591734,41.13287048743198,39.019236631232474,1.15,partial,yellow,46.75602846029304,54.70194798001061,-3.415865666793399,-19.469240765929623,-2.9784063769129783,5.85288549468487,16.033686955542727,1,normal_or_unknown
2017-01-18,0,0.6667000000000001,,47.87552681445257,42.06587612049128,41.63089288213267,1.15,partial,yellow,46.75602846029304,54.70194798001061,-2.1423693166430984,-19.271954113237076,-0.6426327737625213,6.2446339323199,15.230535038084653,1,normal_or_unknown
2017-01-19,0,0.6667000000000001,,44.97320437846463,42.468173599449436,39.10713424214316,1.15,partial,yellow,44.06845673660832,54.70194798001061,-4.574598025871886,-19.63213493322096,-0.8890744564158765,5.8660701363214685,15.367063813962725,1,normal_or_unknown
