Дата,Код выпуска,Тип бумаги,Дней до погашения,"Объем предложения, млн руб.","Цена отсечения, % от номинала","Цена средневзвешенная, % от номинала","Доходность по цене отсечения, % годовых","Доходность средневзвешенная, % годовых","Совокупный объем спроса по номиналу, млн руб.","Объем размещения по номиналу, млн руб.","Объем выручки, млн руб.",Коэффициент удовлетворения спроса,Cover ratio (спрос / размещение),Год источника,Формат
2017-01-11,26219RMFS,ОФЗ-ПД,3535,25000.0,98.0636,98.2081,8.200000000000001,8.18,51913.288,24999.999,25109.262645969997,2.07653152,2.076531603061264,2017,
2017-01-11,24019RMFS,ОФЗ-ПК,1008,15000.0,101.312,101.3775,10.34,10.31,49242.172,14999.998,15390.22293948,3.282811466666667,3.2828119043749204,2017,
2017-01-18,26217RMFS,ОФЗ-ПД,1673,23406.285,98.912,99.0525,7.94,7.9,42843.008,23406.285,23891.60477905,1.8304061494594297,1.8304061494594297,2017,
2017-01-18,26218RMFS,ОФЗ-ПД,5355,20000.0,102.3945,102.5759,8.38,8.36,26212.217,20000.0,21004.183553,1.31061085,1.31061085,2017,
2017-01-25,26219RMFS,ОФЗ-ПД,3521,20000.0,97.0,97.1714,8.37,8.34,21093.801,15855.203,15807.22258072,1.05469005,1.3304024552697309,2017,
2017-01-25,29012RMFS,ОФЗ-ПК,2121,20000.0,102.14,102.2171,10.5,10.48,44233.522,19987.497,20760.03684845,2.2116761,2.2130595942053173,2017,
2017-02-01,26220RMFS,ОФЗ-ПД,2135,15000.0,97.1915,97.298,8.17,8.15,62362.795,14999.996,14594.69415808,4.1575196666666665,4.157520775338874,2017,
2017-02-01,24019RMFS,ОФЗ-ПК,987,15000.0,101.1611,101.2149,10.39,10.37,49087.172,14999.996,15457.62637058,3.2724781333333333,3.2724790059944016,2017,
2017-02-08,26220RMFS,ОФЗ-ПД,2128,25000.0,96.8515,96.9471,8.25,8.23,24556.595,15358.217,14911.15148887,0.9822638,1.598922257707389,2017,
2017-02-08,26218RMFS,ОФЗ-ПД,5334,15000.0,102.03,102.1909,8.43,8.41,32055.999999999996,15000.0,15768.72912,2.1370666666666662,2.1370666666666662,2017,
2017-02-15,29012RMFS,ОФЗ-ПК,2100,15000.0,102.201,102.2255,10.48,10.47,51023.276,14999.996,15673.72617036,3.401551733333333,3.4015526404140375,2017,
2017-02-15,26219RMFS,ОФЗ-ПД,3500,25000.0,97.57,97.6859,8.28,8.260000000000002,42373.286,25000.0,25164.466275,1.69493144,1.69493144,2017,
2017-02-22,26220RMFS,ОФЗ-ПД,2114,20000.0,95.8451,95.9321,8.49,8.469999999999999,23447.313,13717.599,13218.017877019998,1.17236565,1.709286953205149,2017,
2017-02-22,26218RMFS,ОФЗ-ПД,5320,10000.0,102.02,102.0473,8.43,8.42,30855.071,10000.0,10530.73407,3.0855071,3.0855071,2017,
2017-03-01,26219RMFS,ОФЗ-ПД,3486,20000.0,96.5215,96.6351,8.450000000000001,8.44,51294.128,19999.999,19981.011650949997,2.5647064,2.5647065282353263,2017,
2017-03-01,26216RMFS,ОФЗ-ПД,805,15000.0,96.55,96.5962,8.62,8.59,27290.641,14999.999,14778.62711595,1.8193760666666667,1.8193761879584125,2017,
2017-03-15,26220RMFS,ОФЗ-ПД,2093,25000.0,97.0115,97.0916,8.219999999999999,8.21,76240.07,24999.997,24485.64672673,3.0496028,3.04960316595238,2017,
2017-03-15,26221RMFS,ОФЗ-ПД,5852,20000.0,95.78,96.1396,8.34,8.3,80173.833,19999.994,19346.114271150003,4.00869165,4.008692852607856,2017,
2017-03-22,26219RMFS,ОФЗ-ПД,3465,27000.0,98.0124,98.2211,8.21,8.18,42392.073,26999.997,27522.74774072,1.5700767777777778,1.5700769522307725,2017,
2017-03-22,26216RMFS,ОФЗ-ПД,784,13000.0,96.9,96.915,8.469999999999999,8.459999999999999,15893.584,4100.765,4069.1070942,1.2225833846153846,3.875760742202979,2017,
2017-03-29,24019RMFS,ОФЗ-ПК,931,20000.0,101.58,101.6646,10.17,10.13,61550.753,19999.995,21026.71515855,3.07753765,3.077538419384605,2017,
2017-03-29,26221RMFS,ОФЗ-ПД,5838,25000.0,96.65,96.8003,8.23,8.219999999999999,38449.877,24999.993,24421.57345998,1.53799508,1.537995510638743,2017,
2017-04-05,26220RMFS,ОФЗ-ПД,2072,30000.0,98.0015,98.0458,8.0,7.99,71887.022,30000.0,29796.84645,2.3962340666666666,2.3962340666666666,2017,
2017-04-05,26218RMFS,ОФЗ-ПД,5278,12898.085,104.96,105.0125,8.07,8.07,48151.389,12898.084,13544.6035476,3.733220009016843,3.733220298456732,2017,
2017-04-12,26220RMFS,ОФЗ-ПД,2065,20000.0,97.55,97.735,8.1,8.06,28889.713,19999.997,19830.78879038,1.44448565,1.44448586667288,2017,
