type,term_days,date,time,volume_mln,rate_wavg,settlement,volume_bln
Репо,7,2010-04-13,13:30,3677.8,5.59,S1,3.6778000000000004
Репо,1,2010-04-13,16:00,0.0,0.0,S0,0.0
Репо,1,2010-04-14,11:30,7924.6,5.66,S0,7.924600000000001
Репо,1,2010-04-14,15:30,432.1,5.84,S0,0.43210000000000004
Репо,1,2010-04-15,16:00,0.0,0.0,S0,0.0
Репо,1,2010-04-15,11:30,7047.0,5.66,S0,7.047
Репо,3,2010-04-16,16:00,0.0,0.0,S0,0.0
Репо,3,2010-04-16,11:30,8220.1,5.67,S0,8.2201
Репо,1,2010-04-19,16:00,118.2,5.82,S0,0.1182
Репо,1,2010-04-19,11:30,24578.5,5.72,S0,24.5785
Репо,91,2010-04-19,13:30,0.0,0.0,S2,0.0
Репо,1,2010-04-20,16:00,0.0,0.0,S0,0.0
Репо,1,2010-04-20,11:30,8163.2,5.73,S0,8.1632
Репо,7,2010-04-20,13:30,3814.8,5.62,S1,3.8148
Репо,1,2010-04-21,11:30,1825.7,5.74,S0,1.8257
Репо,1,2010-04-21,16:00,235.1,5.92,S0,0.2351
Репо,1,2010-04-22,11:30,31736.8,5.75,S0,31.7368
Репо,1,2010-04-22,16:00,0.0,0.0,S0,0.0
Репо,3,2010-04-23,11:30,34901.9,5.76,S0,34.901900000000005
Репо,3,2010-04-23,16:00,340.1,5.75,S0,0.3401
Репо,1,2010-04-26,11:30,32009.0,5.76,S0,32.009
Репо,91,2010-04-26,13:30,0.0,0.0,S2,0.0
Репо,1,2010-04-26,15:30,0.0,0.0,S0,0.0
Репо,1,2010-04-27,11:30,29676.4,5.76,S0,29.6764
Репо,7,2010-04-27,13:30,3560.0,5.62,S1,3.56
Репо,1,2010-04-27,16:00,89.7,5.77,S0,0.0897
Репо,1,2010-04-28,11:30,29745.6,5.77,S0,29.7456
Репо,1,2010-04-28,16:00,129.0,5.81,S0,0.129
Репо,1,2010-04-29,11:30,9123.8,5.87,S0,9.1238
Репо,1,2010-04-29,16:00,517.0,5.84,S0,0.517
Репо,4,2010-04-30,16:00,572.4,5.54,S0,0.5724
Репо,4,2010-04-30,11:30,7382.1,5.74,S0,7.3821
Репо,1,2010-05-04,11:30,5640.7,5.56,S0,5.6407
Репо,7,2010-05-04,13:30,3928.4,5.35,S1,3.9284
Репо,1,2010-05-04,16:00,0.0,0.0,S0,0.0
Репо,1,2010-05-05,11:30,5890.5,5.49,S0,5.8905
Репо,1,2010-05-05,16:00,100.0,5.26,S0,0.1
Репо,1,2010-05-06,11:30,5157.9,5.47,S0,5.1579
Репо,1,2010-05-06,16:00,0.0,0.0,S0,0.0
Репо,4,2010-05-07,11:30,6099.7,5.49,S0,6.0996999999999995
Репо,91,2010-05-07,13:30,0.0,0.0,S2,0.0
Репо,4,2010-05-07,16:00,24.0,5.26,S0,0.024
Репо,1,2010-05-11,11:30,7899.1,5.53,S0,7.899100000000001
Репо,7,2010-05-11,13:45,3882.1,5.34,S1,3.8821
Репо,1,2010-05-11,16:00,167.5,5.51,S0,0.1675
Репо,1,2010-05-12,11:30,6469.3,5.49,S0,6.4693000000000005
Репо,1,2010-05-12,15:30,417.2,5.43,S0,0.4172
Репо,1,2010-05-13,16:00,0.0,0.0,S0,0.0
Репо,1,2010-05-13,11:30,6293.3,5.47,S0,6.2933
Репо,3,2010-05-14,11:30,5629.3,5.45,S0,5.6293
Репо,3,2010-05-14,16:00,24.3,5.26,S0,0.024300000000000002
Репо,1,2010-05-17,11:30,3313.7,5.44,S0,3.3137
Репо,91,2010-05-17,13:30,444.5,6.75,S2,0.4445
Репо,1,2010-05-17,16:00,0.0,0.0,S0,0.0
Репо,1,2010-05-18,11:30,3319.2,5.38,S0,3.3192
Репо,7,2010-05-18,13:45,1619.6,5.29,S1,1.6196
Репо,1,2010-05-18,16:00,0.0,0.0,S0,0.0
Репо,1,2010-05-19,11:30,3132.6,5.38,S0,3.1326
Репо,1,2010-05-19,15:30,24.5,5.26,S0,0.0245
Репо,1,2010-05-20,11:30,3621.5,5.33,S0,3.6215
Репо,1,2010-05-20,16:00,211.2,5.34,S0,0.2112
Репо,3,2010-05-21,11:30,4108.4,5.33,S0,4.1084
Репо,3,2010-05-21,16:00,0.0,0.0,S0,0.0
Репо,1,2010-05-24,11:30,4048.9,5.31,S0,4.0489
Репо,91,2010-05-24,13:30,0.0,0.0,S2,0.0
Репо,1,2010-05-24,16:00,0.0,0.0,S0,0.0
Репо,1,2010-05-25,16:00,526.9,5.32,S0,0.5268999999999999
Репо,1,2010-05-25,11:30,3803.9,5.31,S0,3.8039
Репо,7,2010-05-25,13:45,3102.2,5.28,S1,3.1022
Репо,1,2010-05-26,16:00,4.8,5.26,S0,0.0048
Репо,1,2010-05-26,11:30,2918.3,5.3,S0,2.9183000000000003
Репо,1,2010-05-27,11:30,1271.6,5.3,S0,1.2715999999999998
Репо,1,2010-05-27,16:00,0.0,0.0,S0,0.0
Репо,3,2010-05-28,11:30,1270.8,5.31,S0,1.2708
Репо,3,2010-05-28,16:00,0.0,0.0,S0,0.0
Репо,1,2010-05-31,11:30,1256.1,5.3,S0,1.2561
Репо,1,2010-05-31,16:00,0.0,0.0,S0,0.0
Репо,91,2010-05-31,13:30,0.0,0.0,S2,0.0
Репо,1,2010-06-01,11:30,1666.9,5.13,S0,1.6669
Репо,7,2010-06-01,13:45,2244.3,5.11,S1,2.2443
Репо,1,2010-06-01,16:00,0.0,0.0,S0,0.0
Репо,1,2010-06-02,11:30,1343.5,5.12,S0,1.3435
Репо,1,2010-06-02,16:00,0.0,0.0,S0,0.0
Репо,1,2010-06-03,16:00,0.0,0.0,S0,0.0
Репо,1,2010-06-03,11:30,1419.4,5.07,S0,1.4194
Репо,3,2010-06-04,16:00,0.0,0.0,S0,0.0
Репо,3,2010-06-04,11:30,16001.4,5.06,S0,16.0014
Репо,1,2010-06-07,16:00,0.0,0.0,S0,0.0
Репо,1,2010-06-07,11:30,9354.1,5.05,S0,9.3541
Репо,91,2010-06-07,13:30,0.0,0.0,S2,0.0
Репо,1,2010-06-08,16:00,0.0,0.0,S0,0.0
Репо,1,2010-06-08,11:30,16337.2,5.04,S0,16.3372
Репо,7,2010-06-08,13:30,2258.6,5.06,S1,2.2586
Репо,1,2010-06-09,11:30,11059.5,5.04,S0,11.0595
Репо,1,2010-06-09,16:00,0.0,0.0,S0,0.0
Репо,1,2010-06-10,11:30,10586.6,5.03,S0,10.5866
